OBJECTID,Fire80_Raster,X,Y,asp2,twi,tmaxjuly_2,tmax,soilmois,slope,ndvi,lulc,lake,evt_aug,elevation,road,river,pcp
8568,0,467069.8763,2017566.106,4,-6,1,1,2,2,1,8,5,1,3,4,4,1
8569,0,465469.8763,2010066.106,2,143,1,1,2,3,1,8,5,1,2,4,4,1
8570,0,500869.8763,2009366.106,3,-6,1,1,2,2,1,8,5,1,2,4,5,1
8571,0,521169.8763,2020766.106,4,143,1,1,2,3,1,8,4,1,2,4,4,1
8572,0,507269.8763,2015966.106,3,143,1,1,2,3,1,8,5,1,2,4,4,1
8573,0,521469.8763,2014666.106,3,129,1,1,2,2,1,8,4,1,2,4,5,1
8574,0,527069.8763,2007966.106,3,129,1,1,2,2,1,8,4,1,2,4,5,1
8575,0,539269.8763,2017266.106,3,129,1,1,2,3,1,8,4,1,2,4,5,1
8576,0,544469.8763,2012666.106,3,-6,1,1,2,3,1,8,4,1,1,4,5,1
8577,0,-1538030.124,2023366.106,3,-219,1,2,3,4,1,8,4,1,5,3,4,2
8578,0,-2244430.124,2083366.106,2,-219,1,2,1,5,1,10,4,1,5,3,5,4
8579,0,-2226830.124,2081066.106,4,-6,1,2,1,4,1,10,4,1,5,3,5,4
8580,0,-2213930.124,2083366.106,4,-219,1,2,1,5,1,10,4,1,5,3,5,3
8581,0,-2199430.124,2083166.106,3,143,1,2,1,5,1,10,4,1,5,2,5,3
8582,0,-2140430.124,2072166.106,2,-219,1,2,4,5,1,10,4,1,5,2,5,2
8583,0,-2146330.124,2072066.106,2,-219,1,2,4,5,1,10,4,1,5,2,5,2
8584,0,-2132230.124,2075466.106,4,-219,1,3,4,5,1,8,4,1,5,1,5,2
8585,0,-1195330.124,2070366.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8586,0,-1172130.124,2076266.106,1,-46,1,2,1,1,1,11,1,2,2,3,2,1
8587,0,-1166530.124,2075966.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8588,0,-1169430.124,2072366.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8589,0,-1179630.124,2070266.106,1,-46,2,2,1,1,1,11,1,2,2,3,2,1
8590,0,-1174430.124,2069766.106,1,-6,2,2,1,1,1,11,1,2,2,3,3,1
8591,0,-1153030.124,2081066.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8592,0,-1151330.124,2079966.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8593,0,-1158030.124,2079366.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
8594,0,-1153030.124,2078666.106,1,-46,1,2,1,1,1,11,1,2,2,3,3,1
